规则,药品名,拼音首字母,医保编码数,KP ID
药品区分性别使用,阴道用乳杆菌活菌胶囊,ydyrgjhjjn,2,31290
药品区分性别使用,孕妇金花胶囊,yfjhjn,2,31668
药品区分性别使用,孕妇金花片,yfjhp,3,31669
药品区分性别使用,孕妇金花丸,yfjhw,2,31670
药品区分性别使用,孕妇清火丸,yfqhw,6,31671
药品区分性别使用,氧氟沙星栓,yfsxs,12,31395
药品区分性别使用,氧氟沙星阴道泡腾片,yfsxydptp,4,31396
药品区分性别使用,益妇止血丸,yfzxw,1,31655
药品区分性别使用,益宫颗粒,ygkl,3,31656
药品区分性别使用,益宫宁血口服液,ygnxkfy,3,31657
药品区分性别使用,孕康口服液,ykkfy,7,31292
药品区分性别使用,孕康颗粒,ykkl,7,31291
药品区分性别使用,孕康糖浆,yktj,1,31672
药品区分性别使用,益母草分散片,ymcfsp,2,31658
药品区分性别使用,益母草膏,ymcg,123,31284
药品区分性别使用,益母草胶囊,ymcjn,15,31285
药品区分性别使用,益母草口服液,ymckfy,8,31659
药品区分性别使用,益母草颗粒,ymckl,377,31286
药品区分性别使用,益母草颗粒(无糖型),ymcklwtx,3,31287
药品区分性别使用,益母草流浸膏,ymcljg,14,31660
药品区分性别使用,益母草片,ymcp,19,31288
药品区分性别使用,益母草软胶囊,ymcrjn,8,31661
药品区分性别使用,益母草注射液,ymczsy,4,31289
药品区分性别使用,益母康颗粒,ymkkl,3,31662
药品区分性别使用,益母颗粒,ymkl,28,31663
药品区分性别使用,益母丸,ymw,27,31664
药品区分性别使用,益气增乳胶囊,yqzrjn,1,31665
药品区分性别使用,盐酸阿扑吗啡舌下片,ysapmfsxp,9,31392
药品区分性别使用,盐酸环丙沙星栓,yshbsxs,3,31393
药品区分性别使用,盐酸环丙沙星阴道泡腾片,yshbsxydptp,7,31394
药品区分性别使用,盐酸利托君片,ysltjp,7,31282
药品区分性别使用,盐酸利托君注射液,ysltjzsy,8,31283
药品区分性别使用,孕三烯酮胶囊,ysxtjn,1,31293
药品区分性别使用,鱼腥草素钠栓,yxcsns,9,31397
药品区分性别使用,益香当红膏,yxdhg,2,31666
药品区分性别使用,依西美坦胶囊,yxmtjn,3,31360
药品区分性别使用,依西美坦片,yxmtp,19,31361
药品区分性别使用,治带胶囊,zdjn,2,31679
药品区分性别使用,止带片,zdp,2,31677
药品区分性别使用,治带片,zdp,12,31680
药品区分性别使用,止带消糜栓,zdxms,4,31678
药品区分性别使用,左炔诺孕酮肠溶胶囊,zgnytcrjn,2,31682
药品区分性别使用,左炔诺孕酮肠溶片,zgnytcrp,5,31683
药品区分性别使用,左炔诺孕酮滴丸,zgnytdw,1,31684
药品区分性别使用,左炔诺孕酮分散片,zgnytfsp,2,31685
药品区分性别使用,左炔诺孕酮炔雌醚片,zgnytgcmp,8,31402
药品区分性别使用,左炔诺孕酮宫内节育系统,zgnytgnjyxt,1,31401
